"Source","Target","Weight"
"headlock (snail mail)","light blue (snail mail)","6"
"light blue (snail mail)","forever (sailing) (snail mail)","6"
"forever (sailing) (snail mail)","madonna (snail mail)","6"
"c. et al. (snail mail)","glory (snail mail)","6"
"glory (snail mail)","automate (snail mail)","6"
"automate (snail mail)","mia (snail mail)","6"
"drown (newdad)","i don't recognise you (newdad)","6"
"slowly (newdad)","blue (newdad)","6"
"say it (newdad)","banshee (newdad)","6"
"banshee (newdad)","spring (newdad)","6"
"spring (newdad)","thinking too much (newdad)","6"
"bones (soccer mommy)","with u (soccer mommy)","6"
"moving (sylvan esso)","look at me (sylvan esso)","6"
"look at me (sylvan esso)","echo party (sylvan esso)","6"
"echo party (sylvan esso)","how did you know (sylvan esso)","6"
"how did you know (sylvan esso)","didn't care (sylvan esso)","6"
"didn't care (sylvan esso)","your reality (sylvan esso)","6"
"your reality (sylvan esso)","cloud walker (sylvan esso)","6"
"cloud walker (sylvan esso)","sunburn (sylvan esso)","6"
"sunburn (sylvan esso)","alarm (sylvan esso)","6"
"will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled"" (illuminati hotties)","free ppls (illuminati hotties)","6"
"melatonezone (illuminati hotties)","wattbl (illuminati hotties)","6"
"wattbl (illuminati hotties)","free dumb (illuminati hotties)","6"
"born yesterday (gladie)","mud (gladie)","6"
"mud (gladie)","hit the ground running (gladie)","6"
"hit the ground running (gladie)","nothing (gladie)","6"
"nothing (gladie)","soda (gladie)","6"
"heaven, someday (gladie)","fixer (gladie)","6"
"fixer (gladie)","smoking (gladie)","6"
"smoking (gladie)","for a friend (gladie)","6"
"for a friend (gladie)","something fragile (gladie)","6"
"big shot (fontaines d.c.)","how cold love is (fontaines d.c.)","6"
"how cold love is (fontaines d.c.)","jackie down the line (fontaines d.c.)","6"
"jackie down the line (fontaines d.c.)","bloomsday (fontaines d.c.)","6"
"salmon stinta (black belt eagle scout)","blue (black belt eagle scout)","6"
"all i do (bully)","days move slow (bully)","6"
"days move slow (bully)","a wonderful life (bully)","6"
"a wonderful life (bully)","hard to love (bully)","6"
"hard to love (bully)","change your mind (bully)","6"
"how will i know (bully)","a love profound (bully)","6"
"ms. america (bully)","all this noise (bully)","6"
"it wasn't love (blondshell)","street rat (blondshell)","6"
"im kamf (isabel frey)","di sapozhkelekh (isabel frey)","6"
"di sapozhkelekh (isabel frey)","di grine kuzine (isabel frey)","6"
"di grine kuzine (isabel frey)","kinder yorn (isabel frey)","6"
"kinder yorn (isabel frey)","daloy politsey (isabel frey)","6"
"daloy politsey (isabel frey)","arbeter froyen (isabel frey)","6"
"dona dona (isabel frey)","di shvue (isabel frey)","6"
"di shvue (isabel frey)","mayn rue plats (isabel frey)","6"
"mayn rue plats (isabel frey)","dire gelt (isabel frey)","6"
"dire gelt (isabel frey)","eyder ikh leyg mikh shlofn (isabel frey)","6"
